Type,Num,Genus,Species,Family,ComName,Location,Collector,Contributor,Date,Notes
L,265,Populus,Trichocarpa,Unknown,"Unknown","Vancouver, B.C.","H.R. Christie","",01-Jan-1928,""
L,266,Abies,Amabilis,Unknown,"Unknown","Vancouver, B.C.","H.R. Christie","",01-Jan-1928,""
L,267,Sequoia,Sempervirens,Unknown,"Unknown","","Commercial","",NaT,""
L,268,Pinus,Banksiana,Unknown,"Unknown","","Commercial","",NaT,""
L,269,Betula,Papyrifera,Unknown,"Unknown","Veneer","E.J. Zavitz","",NaT,""
L,270,Populus,Unknown,Unknown,"Unknown","Veneer","E.J. Zavitz","",NaT,""
L,271,Unknown,Unknown,Unknown,"Philippine Mahogany","","Commercial","",NaT,""
L,272,Pinus,Ponderosa,Unknown,"Unknown","California","Commercial","",NaT,"Sold as California White Pine"
L,273,Pinus,Ponderosa,Unknown,"Unknown","","Commercial","",NaT,"Sold as ponderosa pine"
L,274,Pinus,Monticola,Unknown,"Unknown","","Commercial","",NaT,""
L,275,Unknown,Unknown,Unknown,"Philippine Mahogany","","Commercial","",NaT,""
L,276,Pinus,Banksiana,Unknown,"Unknown","Sioux lookout, Ontario","A.B. Connell","",01-Jan-1928,""
L,277,Achras,Zapota or Sapodilla,Unknown,"Unknown","British Guiana","J.R. Cosgrove","",NaT,""
L,278,Cistanthera,Papavifwea or Danta,Unknown,"Unknown","Gold Coast","J.R. Cosgrove","",NaT,""
L,279,Taxodium,Unknown,Unknown,"Unknown","","","",NaT,"Shop"
L,280,Abies,Concolor,Unknown,"Unknown","","Commercial","",01-Jan-1929,""
L,281,Ulmus,Racemose,Unknown,"Unknown","Ferguson's Falls Lanark Co.","W.D. Cram","",01-Jan-1929,"Pioneer house 100 years old"
L,282,Tsuga,Carolinian,Unknown,"Unknown","","Commercial","",01-Jan-1929,""
L,283,Castanea,Dentate,Unknown,"Unknown","","Commercial","",01-Jan-1930,""
L,284,Ostrya,Virginiana,Unknown,"Unknown","Toronto, Ontario","","",01-Jan-1929,"University Grounds"
L,285,Ulmus,Americana,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1930,"Shipment from G.J. Thomson, 1925"
L,286,Ulmus,Fulva,Unknown,"Unknown","Toronto, Ontario","","",01-Jan-1929,"University Grounds"
L,287,Ulmus,Racemose,Unknown,"Unknown","Toronto, Ontario","","",01-Jan-1929,"University Grounds"
L,288,Ulmus,Racemose,Unknown,"Unknown","Mansfield, Ont.","G.J. Thomson","",01-Jan-1930,"Shipment from G.J. Thomson, 1925"
L,289,Pinus,Strobus,Unknown,"Unknown","","Commercial","",NaT,"for defects"
L,290,Quercus,Macrocarpa,Unknown,"Unknown","Pakesley, Ont.","P. McEwen","",01-Jan-1931,""
L,291,Betula,Lutea,Unknown,"Unknown","Pakesley, Ont.","P. McEwen","",01-Jan-1931,""
L,292,Betula,Papyrifera,Unknown,"Unknown","Pakesley, Ont.","P. McEwen","",01-Jan-1931,""
L,293,Liriodendron,Tulipifera,Unknown,"Unknown","","Commercial","",01-Jan-1931,"(Blister grain)"
L,294,Liriodendron,Tulipifera,Unknown,"Unknown","","Commercial","",01-Jan-1931,"(Color)"
L,295,Juniperus,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,296,Juglans,Nigra,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,297,Liquidambar,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,298,Prunus,Serotina,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,299,Liriodendron,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,300,Plantanus,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
L,301,Castanea,Unknown,Unknown,"Unknown","Toronto, Ontario","","Robert Bury Co.",01-Jan-1932,""
